gus.buptnet.edu.cn                bupt.edu.cn
ns1.xidian.edu.cn                 xidian.edu.cn
ntserver1.xauat.edu.cn            xauat.edu.cn
dns.nwpu.edu.cn                   nwpu.edu.cn
dns1.swfc.edu.cn                  swfc.edu.cn
ncs2.nwsuaf.edu.cn                nwsuaf.edu.cn
ncs1.nwsuaf.edu.cn                nwsuaf.edu.cn
nwu01.nwu.edu.cn                  nwu.edu.cn
dns.xapi.edu.cn                   xapi.edu.cn
dns1.xasyu.edu.cn                 xasyu.edu.cn
dns1.snie.cn                      snie.edu.cn
dns2.xasyu.edu.cn                 xasyu.edu.cn
dns1.snie.edu.cn                  snie.edu.cn
dns1.snsy.edu.cn                  snie.edu.cn
dns1.sntcm.edu.cn                 sntcm.edu.cn
dns.lut.cn                        lut.edu.cn
mysun2.xbmu.edu.cn                xbmu.edu.cn
tdns.hxu.edu.cn                   hxu.edu.cn
tspns.tsnc.edu.cn                 tsnc.edu.cn
mysun2.xbmu.edu.cn                xbmu.edu.cn
dns.nxu.edu.cn                    nxu.edu.cn
nxu.edu.cn                        nxu.edu.cn
newdns.nxgs.edu.cn                nxgs.edu.cn
dns.qhmu.edu.cn                   qhmu.edu.cn
dns2.qhrtvu.edu.cn                qhrtvu.edu.cn
dns.qhu.edu.cn                    qhu.edu.cn
dns1.qhmc.edu.cn                  qhmc.edu.cn
dns.qhrtvu.edu.cn                 qhrtvu.edu.cn
dns.xjmu.edu.cn                   xjmu.edu.cn
dns.uvu.edu.cn                    uvu.edu.cn
sync.kstc.edu.cn                  kstc.edu.cn
chuhai.edu.hk                     chuhai.edu.hk
ns3.chuhai.hk                     chuhai.edu.hk
ntserver1.ift.edu.mo              ift.edu.mo
ipmsun2.ipm.edu.mo                ipm.edu.mo
ns2.must.edu.mo                   must.edu.mo
nknu.nknu.edu.tw                  nknu.edu.tw
ns2.ntnu.edu.tw                   ntnu.edu.tw
ns2.nctu.edu.tw                   nctu.edu.tw
