
; <<>> DiG 9.9.5-W1 <<>> @dns1.ctbu.edu.cn axfr ctbu.edu.cn
; (1 server found)
;; global options: +cmd
wzmis.ctbu.edu.cn.	10800	IN	A	211.83.206.224
xb.ctbu.edu.cn.		10800	IN	CNAME	web.ctbu.edu.cn.
xcb.ctbu.edu.cn.	10800	IN	A	211.83.206.3
xcbdev.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
xcgl.ctbu.edu.cn.	10800	IN	A	211.83.206.224
xdtxjs.ctbu.edu.cn.	10800	IN	A	211.83.206.20
xiaobao.ctbu.edu.cn.	10800	IN	A	211.83.206.9
xiezuo.ctbu.edu.cn.	10800	IN	A	211.83.206.230
xlcp.ctbu.edu.cn.	10800	IN	A	211.83.206.41
xldh.ctbu.edu.cn.	10800	IN	A	211.83.206.9
xldhdev.ctbu.edu.cn.	10800	IN	A	211.83.206.3
xmgl.ctbu.edu.cn.	10800	IN	A	211.83.206.238
xq60.ctbu.edu.cn.	10800	IN	A	211.83.206.50
xs.ctbu.edu.cn.		10800	IN	A	211.83.206.50
xsc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
xscold.ctbu.edu.cn.	10800	IN	A	211.83.206.216
xswx.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
xuebao.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
xxgk.ctbu.edu.cn.	10800	IN	A	211.83.206.3
xyfd.ctbu.edu.cn.	10800	IN	CNAME	www.dean.ctbu.edu.cn.
xymis.ctbu.edu.cn.	10800	IN	A	211.83.206.56
xyuan.ctbu.edu.cn.	10800	IN	A	211.83.192.109
xzl.ctbu.edu.cn.	10800	IN	A	211.83.206.3
yjy.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
yst.ctbu.edu.cn.	10800	IN	A	211.83.206.3
yszx.ctbu.edu.cn.	10800	IN	A	211.83.206.242
yva.ctbu.edu.cn.	10800	IN	A	211.83.206.3
yvadev.ctbu.edu.cn.	10800	IN	A	211.83.206.3
yxba.ctbu.edu.cn.	10800	IN	A	211.83.206.214
yxbc.ctbu.edu.cn.	10800	IN	A	211.83.206.214
yxbd.ctbu.edu.cn.	10800	IN	A	211.83.206.214
yyj.ctbu.edu.cn.	10800	IN	A	211.83.206.242
